name,category
GFUN-USD,crypto
BLIZZ-USD,crypto
DZG-USD,crypto
INVE-USD,crypto
SET-USD,crypto
HOMI-USD,crypto
WCO-USD,crypto
BGL-USD,crypto
XDNA-USD,crypto
WAIF-USD,crypto
NCC-USD,crypto
MMO-USD,crypto
UGAS-USD,crypto
TIK-USD,crypto
NVC-USD,crypto
DOGEC-USD,crypto
SHND-USD,crypto
PVT-USD,crypto
CCN-USD,crypto
TH-USD,crypto
BXY-USD,crypto
1MT-USD,crypto
PLURA-USD,crypto
ESH-USD,crypto
TCORE-USD,crypto
MES-USD,crypto
QBT-USD,crypto
RMPL-USD,crypto
BLUE-USD,crypto
ORAO-USD,crypto
ZNZ-USD,crypto
ALT-USD,crypto
ZUT-USD,crypto
CTASK-USD,crypto
XWP-USD,crypto
EXP-USD,crypto
ALA-USD,crypto
MSR-USD,crypto
XNK-USD,crypto
MOF-USD,crypto
RNBW-USD,crypto
CNN-USD,crypto
VIKKY-USD,crypto
LMY-USD,crypto
UBN-USD,crypto
SWT-USD,crypto
PKT-USD,crypto
EMD-USD,crypto
AID-USD,crypto
OPEN-USD,crypto
MAS-USD,crypto
RFI-USD,crypto
WINR-USD,crypto
CORX-USD,crypto
DDK-USD,crypto
HSC-USD,crypto
DACS-USD,crypto
PAK-USD,crypto
CREA-USD,crypto
BITTO-USD,crypto
BEER-USD,crypto
EGG-USD,crypto
XNV-USD,crypto
DOGEFI-USD,crypto
YSEC-USD,crypto
POLI-USD,crypto
SIB-USD,crypto
RONINGMZ-USD,crypto
ETZ-USD,crypto
DAM-USD,crypto
METM-USD,crypto
2LC-USD,crypto
PHT-USD,crypto
PAYB-USD,crypto
STKR-USD,crypto
XCN-USD,crypto
BIRD-USD,crypto
BART-USD,crypto
DOPE-USD,crypto
GPYX-USD,crypto
MODX-USD,crypto
EDC-USD,crypto
ACAT-USD,crypto
PIPL-USD,crypto
